variant,total_pnl,max_dd,pnl_dd_ratio,velvet_pnl,velvet_trades,inventory_drift,spread_capture,take_edge,make_edge,agg_adverse,pas_adverse
v11_optimal (no hedge),70385,56649,1.242,3290,1176,58832,11553,-5882,17435,5690,-1783
v12_dh_passive (no taker),66648,56060,1.189,-447,468,60472,6176,-5882,12058,5690,-789
v13_dh_lowfreq (rare taker),66407,56060,1.185,-688,293,61495,4912,-5932,10844,5690,-649
v14_dh_default (full hedger),65085,56060,1.161,-2010,133,61598,3487,-6178,9665,5659,-340
v20_z_skip_strict (z-gate),67332,46341,1.453,3290,1176,54445,12887,-4548,17435,4014,-1763
v24_r2velvet_zskip (R2+zskip),91560,50200,1.824,27518,7446,162462,-70902,-85498,14596,8375,-378
v12_r2velvet (R2 anchor MM),94613,60508,1.564,27518,7446,166849,-72236,-86832,14596,10051,-397
