timestamp,equity
0,0.0
200,0.0
400,0.0
600,0.0
800,0.0
1000,105.78759765625
1200,89.537109375
1400,139.47314453125
1600,138.68798828125
1800,-0.34912109375
2000,4.14208984375
2200,-28.60400390625
2400,-96.58984375
2600,14.92138671875
2800,-4.55224609375
3000,-128.40087890625
3200,-143.43115234375
3400,-109.578125
3600,15.306640625
3800,127.37109375
4000,167.931640625
4200,227.40234375
4400,293.08935546875
4600,329.8896484375
4800,255.02685546875
5000,367.4580078125
5200,301.25
5400,356.189453125
5600,415.35791015625
5800,454.345703125
6000,399.61767578125
6200,431.55224609375
6400,444.0126953125
6600,397.19873046875
6800,368.54345703125
7000,303.64599609375
7200,901.74609375
7400,1706.51953125
7600,1802.5546875
7800,1710.18359375
8000,1667.88671875
8200,1374.72265625
8400,1845.8125
8600,1925.1484375
8800,2386.23828125
9000,1870.75390625
9200,2487.48046875
9400,2324.9453125
9600,2139.48828125
9800,1770.61328125
10000,2008.76171875
10200,1852.34375
10400,2073.95703125
10600,2564.51171875
10800,2325.73828125
11000,2587.34765625
11200,2500.91015625
11400,2105.99609375
11600,2256.52734375
11800,2322.296875
12000,2621.15234375
12200,3414.5859375
12400,3223.71875
12600,2644.6875
12800,2509.234375
13000,2397.27734375
13200,3085.9453125
13400,3131.23388671875
13600,3007.3662109375
13800,3241.17578125
14000,3435.61328125
14200,3460.51171875
14400,3213.09375
14600,3304.859375
14800,3220.38671875
15000,2995.890625
15200,2913.875
15400,3090.6171875
15600,2753.7890625
15800,2786.0546875
16000,2602.16015625
16200,2590.3984375
16400,2610.21484375
16600,2683.857421875
16800,2672.33984375
17000,2716.00390625
17200,2696.26953125
17400,2776.369140625
17600,2768.189453125
17800,2846.595703125
18000,2857.51171875
18200,2902.583984375
18400,2920.681640625
18600,2979.96875
18800,2969.13671875
19000,2889.640625
19200,2734.041015625
19400,2765.08984375
19600,2679.173828125
19800,2682.830078125
20000,2783.86328125
20200,2819.09375
20400,2817.509765625
20600,2884.279296875
20800,2890.857421875
21000,2922.279296875
21200,2902.71484375
21400,2858.126953125
21600,2803.9609375
21800,2741.984375
22000,2802.935546875
22200,2779.107421875
22400,2855.08203125
22600,2985.4140625
22800,2925.228515625
23000,2869.201171875
