asset,final_pnl,max_dd,pnl_per_dd,max_pos,capital_proxy,dd_pct_capital,pnl_pct_capital
VELVETFRUIT_EXTRACT,31573.0,19980.0,1.58,385,2021288.0,0.99,1.56
VEV_4500,30373.0,39818.0,0.76,584,438064.0,9.09,6.93
VEV_5100,28489.0,40052.0,0.71,646,107756.0,37.17,26.44
VEV_5000,19400.0,27744.0,0.7,421,107364.0,25.84,18.07
VEV_5200,14667.0,20246.0,0.72,462,44144.0,45.86,33.23
VEV_4000,9136.0,1948.0,4.69,41,51255.0,3.8,17.82
VEV_5300,6538.0,15528.0,0.42,502,23473.0,66.15,27.85
VEV_5400,773.0,2584.0,0.3,213,3398.0,76.04,22.75
