a,b,n_pos,n_neg,mu_pos,mu_neg,edge,sign
SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,3125,3277,-0.13472,0.4522429050961245,0.5869629050961245,1.0
SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,1764,2382,-0.4552154195011338,-0.9162468513853904,-0.4610314318842566,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,2165,2599,-0.8110854503464203,-0.5498268564832628,0.26125859386315753,1.0
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,175,217,1.6857142857142857,-0.868663594470046,-2.5543778801843318,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,2927,3671,0.10334813802528185,-0.47779896485971124,-0.581147102884993,1.0
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,3118,3508,-0.011225144323284156,-0.4806157354618016,-0.46939059113851744,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,87,244,-1.0862068965517242,-0.8258196721311475,0.2603872244205767,1.0
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,2088,2661,-0.5275383141762452,-0.5496054114994363,-0.02206709732319112,-1.0
SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,1885,2222,-0.6350132625994694,-0.7495499549954996,-0.11453669239603015,1.0
SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2240,2214,0.440625,0.7278681120144534,0.28724311201445346,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,2260,1934,0.6754424778761062,0.4366597724922441,-0.23878270538386215,1.0
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,175,217,-3.32,4.649769585253456,7.969769585253456,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,3671,2927,0.5258785072187415,-0.09873590707208746,-0.624614414290829,1.0
SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,3273,3256,0.37183012526733883,-0.04775798525798526,-0.4195881105253241,1.0
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2094,2072,0.8512416427889207,0.5086872586872587,-0.34255438410166195,-1.0
SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,2353,2151,0.08988525286867828,0.4537424453742445,0.36385719250556625,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2144,2113,-0.5995802238805971,-0.7560340747752011,-0.15645385089460406,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,2456,2109,-0.4110342019543974,0.18610715979137032,0.5971413617457677,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,3118,3508,0.5242142398973701,-0.1257126567844926,-0.6499268966818628,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,244,87,-1.0942622950819672,-1.1494252873563218,-0.055162992274354616,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,3256,3273,0.5582002457002457,-0.058814543232508405,-0.6170147889327542,1.0
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2379,2201,0.04812946616225305,0.4238982280781463,0.37576876191589326,-1.0
SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,2282,1969,-0.6549079754601227,-0.9083291010665312,-0.2534211256064085,1.0
SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,3277,3125,-0.3062252059810803,0.12656,0.4327852059810803,1.0
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,2088,2661,-0.6352969348659003,0.057309282224727545,0.6926062170906279,-1.0
SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,2222,1885,0.35103510351035105,0.870026525198939,0.5189914216885879,1.0
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2094,2072,-0.10744985673352435,0.5378861003861004,0.6453359571196248,-1.0
SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,2151,2353,-0.7343096234309623,0.32341691457713556,1.0577265380080978,1.0
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,2379,2201,-0.6254728877679697,0.2737392094502499,0.8992120972182196,-1.0
SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,1969,2282,0.17318435754189945,0.5670464504820333,0.39386209294013386,1.0
